 Rate.db Rowid, Rate.rr Step, Rate.rr Next Step, Rate.rr Desc, Rate.rr Online Desc, Rate.rr Edition, Rate.rr Issue, Rate.rr Length, Rate.rr Len Type, Rate.rr Zone, Rate.rr Del Meth, Rate.rr Allow Pc, Rate.rr Pay Meth, Rate.rr Easypay Meth, Rate.rr Act Ind, Rate.rr Inact Date, Rate.rr Ssm Allow, Rate.rr Taxable, Rate.rr Kiosk, Rate.rr Visible, Rate.rr Econtent Allow, Rate.rr Promo Gl Account, Rate.rr Abc Zone, Rate.rr New Grace Pol, Rate.rr New Warn, Rate.rr New Cc, Rate.rr New Stop, Rate.rr New Bal Max, Rate.rr Renew Bal Max, Rate.rr Renew Grace Pol, Rate.rr Renew Warn, Rate.rr Renew Cc, Rate.rr Renew Stop, Rate.rr Arrears1, Rate.rr Arrears1 Days, Rate.rr Arrears2, Rate.rr Arrears2 Days, Rate.rr Arrears3, Rate.rr Arrears3 Days, Rate.rr Renew1, Rate.rr Renew1 Days, Rate.rr Renew2, Rate.rr Renew2 Days, Rate.rr Renew3, Rate.rr Renew3 Days, Rate.rr Alt Issue, Rate.rr Alt Del Meth, Rate.rr Alt Abc Zone, Rate.rr Sun Rev Account, Rate.rr Mon Rev Account, Rate.rr Tue Rev Account, Rate.rr Wed Rev Account, Rate.rr Thu Rev Account, Rate.rr Fri Rev Account, Rate.rr Sat Rev Account, Sub Rate Id, Effective Date, Deliv Exp, Net, Full Rate, Sun Net, Mon Net, Tue Net, Wed Net, Thu Net, Fri Net, Sat Net, Act Fee
101,0,0,1 Year Subscription,THE JOURNAL 1 YEAR,TJ,5D,1,Y,CD01,C,Y,P,N,N,,N,N,N,N,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,3,N,14,N,28,Y,41,Y,21,Y,7,,N,0,,,,,,,,101,1/1/10,0,109,109,0,0,0.419231,0.419231,0.419231,0.419231,0.419231,0
102,1,412,SPECIAL-CD03,THE JOURNAL 1 YEAR,TJ,5D,1,Y,CD02,C,Y,P,N,N,8/7/25,N,N,N,N,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,102,1/1/10,0,99,99,0,0,0.380769,0.380769,0.380769,0.380769,0.380769,0
103,1,102,SPECIAL-CD03,THE JOURNAL 1 YEAR,TJ,5D,1,Y,CD03,C,Y,P,N,N,8/7/25,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,103,1/1/10,0,89,89,0,0,0.342308,0.342308,0.342308,0.342308,0.342308,0
104,1,103,SPECIAL-CD04,THE JOURNAL 1 YEAR,TJ,5D,1,Y,CD04,C,Y,P,N,N,8/7/25,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,104,1/1/10,0,78,78,0,0,0.3,0.3,0.3,0.3,0.3,0
105,1,104,SPECIAL-CD05,THE JOURNAL 1 YEAR,TJ,5D,1,Y,CD05,C,Y,P,N,N,8/7/25,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,105,1/1/10,0,65,65,0,0,0.25,0.25,0.25,0.25,0.25,0
106,0,0,SPECIAL-CD06,SPECIAL-CD06,TJ,5D,1,Y,CD06,C,Y,P,N,N,7/31/18,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,106,1/1/10,0,55,55,0,0,0.211538,0.211538,0.211538,0.211538,0.211538,0
107,0,0,6-Month Subscription,THE JOURNAL 6 MONTH,TJ,5D,6,M,CD01,C,Y,P,N,N,,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,107,1/1/10,0,57.75,57.75,0,0,0.444231,0.444231,0.444231,0.444231,0.444231,0
108,0,0,6 MO ONLINE,6 MO ONLINE,TJ,5D,6,M,CD08,I,Y,P,N,N,12/4/15,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,108,1/1/10,0,52.5,52.5,0,0,0.403846,0.403846,0.403846,0.403846,0.403846,0
109,0,0,3-Month Subscription,THE JOURNAL 3 MONTH,TJ,5D,3,M,CD01,C,Y,P,N,N,8/7/25,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,109,1/1/10,0,35.75,35.75,0,0,0.55,0.55,0.55,0.55,0.55,0
110,0,0,3 MO CARRIER DEL,THE JOURNAL 3 MONTH,TJ,5D,3,M,CD10,C,Y,P,N,N,8/7/25,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,110,1/1/10,0,32.5,32.5,0,0,0.5,0.5,0.5,0.5,0.5,0
111,0,0,3 MO CARRIER,THE JOURNAL 3 MONTH,TJ,5D,3,M,CD11,C,Y,P,N,N,8/7/25,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,111,1/1/10,0,28.5,28.5,0,0,0.438462,0.438462,0.438462,0.438462,0.438462,0
112,0,0,3 MO ONLINE-CD12,THE JOURNAL 3 MONTH,TJ,5D,3,M,CD12,C,Y,P,N,N,8/7/25,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,112,1/1/10,0,25,25,0,0,0.384615,0.384615,0.384615,0.384615,0.384615,0
113,0,0,1-Month Subscription,THE JOURNAL 1 MONTH,TJ,5D,1,M,CD13,C,Y,P,E,N,8/7/25,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,113,1/1/10,0,14.99,14.99,0,0,0.681364,0.681364,0.681364,0.681364,0.681364,0
114,0,0,EZPAY Subscription,THE JOURNAL 1 MONTH AUTO RENEW,TJ,5D,1,M,CD14,C,Y,P,E,N,,N,N,N,Y,N,20,0,S,1,0,7,15,15,S,1,0,7,N,1,N,14,N,28,N,41,N,10,N,0,,N,0,,,,,,,,114,1/1/10,0,9.1,9.1,0,0,0.413636,0.413636,0.413636,0.413636,0.413636,0
115,0,0,PAYPAL CARRIER DELIVERED,THE JOURNAL 1 MONTH,TJ,WA,1,M,CD15,C,Y,P,N,Y,,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,THF,I,42,,,,,,,,115,1/1/10,0,8.25,8.25,0,0,0.375,0.375,0.375,0.375,0.375,0
116,0,0,PAYPAL CARRIER DELIVERED,THE JOURNAL 1 MONTH,TJ,5D,1,M,CD16,C,Y,P,N,N,7/28/25,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,116,1/1/10,0,7.42,7.42,0,0,0.337273,0.337273,0.337273,0.337273,0.337273,0
117,0,0,EMPLOYEE 3MO,EMPLOYEE 3MO,TJ,5D,3,M,EP01,C,Y,P,N,N,10/20/15,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,117,1/1/10,0,52.5,52.5,0,0,0.807692,0.807692,0.807692,0.807692,0.807692,0
118,0,0,EMPLOYEE 6 MO,EMPLOYEE 6 MO,TJ,5D,6,M,EP02,C,Y,P,N,N,10/20/15,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,118,1/1/10,0,28.87,28.87,0,0,0.222077,0.222077,0.222077,0.222077,0.222077,0
119,0,0,EMPLOYEE 1 YR,THE JOURNAL 1 YEAR,TJ,5D,1,Y,EP03,C,Y,P,N,N,8/7/25,N,N,N,Y,N,20,0,S,1,0,7,0,0,S,1,0,7,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,119,1/1/10,0,54.5,54.5,0,0,0.209615,0.209615,0.209615,0.209615,0.209615,0
121,0,0,MAIL . IN COUNTY,THE JOURNAL 3 MONTH,TJ,5D,3,M,PO01,M,Y,P,N,N,8/7/25,N,N,N,Y,Y,20,0,S,0,0,0,0,0,S,0,0,0,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,121,1/1/10,0,41,41,0,0,0.630769,0.630769,0.630769,0.630769,0.630769,0
122,0,0,MAIL . OUT COUNTY,THE JOURNAL 3 MONTH,TJ,5D,3,M,PO02,M,Y,P,N,N,7/28/25,N,N,N,Y,Y,20,0,S,1,0,0,0,0,S,1,0,0,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,122,1/1/10,0,41,41,0,0,0.630769,0.630769,0.630769,0.630769,0.630769,0
123,0,0,MAIL . IN COUNTY,THE JOURNAL 6 MONTH,TJ,5D,6,M,PO01,M,Y,P,N,N,8/7/25,N,N,N,Y,Y,20,0,S,1,0,0,0,0,S,1,0,0,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,123,1/1/10,0,80.6,80.6,0,0,0.62,0.62,0.62,0.62,0.62,0
124,0,0,MAIL . OUT COUNTY,THE JOURNAL 6 MONTH,TJ,5D,6,M,CD01,M,Y,P,N,N,8/7/25,N,N,N,Y,Y,20,0,S,1,0,0,0,0,S,1,0,0,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,124,1/1/10,0,80.6,80.6,0,0,0.62,0.62,0.62,0.62,0.62,0
125,0,0,MAIL . IN COUNTY,THE JOURNAL 1 YEAR,TJ,5D,1,Y,PO01,M,Y,P,N,N,8/7/25,N,N,N,Y,Y,20,0,S,1,0,0,0,0,S,1,0,0,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,125,1/1/10,0,152.35,152.35,0,0,0.585962,0.585962,0.585962,0.585962,0.585962,0
126,0,0,MAIL . OUT COUNTY,THE JOURNAL 1 YEAR,TJ,5D,1,Y,PO06,M,Y,P,N,N,8/7/25,N,N,N,Y,Y,20,0,S,1,0,0,0,0,S,1,0,0,Y,1,N,14,N,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,126,1/1/10,0,152.35,152.35,0,0,0.585962,0.585962,0.585962,0.585962,0.585962,0
127,0,0,CARRIER COLLECT,CARRIER COLLECT,TJ,5D,1,W,CC,C,Y,CA,N,N,10/20/15,N,N,N,N,N,,0,S,0,0,7,0,0,S,0,0,7,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,,N,0,,,,,,,,127,1/1/00,0,0,0,0,0,0,0,0,0,0,0
128,0,0,1 YR COMPLIMENTARY   - ADVERTISERS - CARRIER DELIVERED,THE JOURNAL 1 YEAR,TJ,5D,1,Y,COMP,C,Y,CO,N,Y,,N,N,N,Y,N,60,0,S,0,0,7,0,0,S,0,0,7,N,0,N,0,N,0,N,0,N,0,N,0,,N,0,,,,,,,,128,1/1/00,0,0,0,0,0,0,0,0,0,0,0
129,0,0,1 YR COMPLIMENTARY - MAIL DELIVERED,THE JOURNAL 1 YEAR,TJ,5D,1,Y,COMP,M,Y,CO,N,Y,,N,N,N,Y,Y,60,0,S,0,0,0,0,0,S,0,0,0,N,0,N,0,N,0,N,0,N,0,N,0,,N,0,,,,,,,,129,1/1/00,0,0,0,0,0,0,0,0,0,0,0
130,0,0,1 MO INTERNET ONLY,THE JOURNAL 1 MONTH,TJ,5D,1,M,OL01,I,Y,P,E,N,8/7/25,N,N,N,Y,N,60,42,S,0,0,7,0,0,S,0,0,7,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,,N,0,,,,,,,,130,1/1/00,0,14.99,14.99,0,0,0.68136,0.68136,0.68136,0.68136,0.68136,0
133,1,101,2 Months Free,THE JOURNAL 2 MONTH,TJ,5D,2,M,COMP,C,Y,CO,N,Y,,N,Y,N,Y,N,,20,S,0,0,0,0,0,S,0,0,0,N,3,N,10,N,17,N,20,N,13,N,6,,N,0,,,,,,,,131,9/1/13,0,0,0,0,0,0,0,0,0,0,0
134,0,0,PAYPAL INTERNET,THE JOURNAL 1 MONTH,TJ,5D,1,M,PPIN,I,Y,P,N,Y,,N,N,N,Y,N,20,0,S,0,0,7,0,0,S,0,0,7,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,,N,0,,,,,,,,132,1/1/00,0,8.25,8.25,0,0,0.375,0.375,0.375,0.375,0.375,0
135,0,0,3 MO INTERNET,THE JOURNAL 3 MONTH,TJ,5D,3,M,PPIN,I,Y,P,N,N,8/7/25,N,N,N,Y,N,20,0,S,0,0,7,0,0,S,0,0,7,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,,N,0,,,,,,,,133,1/1/00,0,28.5,28.5,0,0,0.43846,0.43846,0.43846,0.43846,0.43846,0
136,0,0,EZ Pay Monthly Online Only,THE JOURNAL 1 MONTH AUTO RENEW,TJ,5D,1,M,EZIN,I,Y,P,E,Y,,N,N,N,Y,N,20,0,S,0,0,7,0,0,S,0,0,7,N,3,N,10,N,17,N,20,N,13,N,6,,N,0,,,,,,,,134,1/1/00,0,9.1,9.1,0,0,0.41363,0.41363,0.41363,0.41363,0.41363,0
137,0,0,3 MO INTERNET,3 MO INTERNET,TJ,5D,3,M,3MIN,I,Y,P,N,N,,N,N,N,Y,N,20,0,S,0,0,7,0,0,S,0,0,7,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,,N,0,,,,,,,,135,1/1/00,0,32.5,32.5,0,0,0.5,0.5,0.5,0.5,0.5,0
138,0,0,PAYPAL INTERNET,PAYPAL INTERNET,TJ,5D,1,M,PPOL,I,Y,P,N,N,10/20/15,N,N,N,N,N,20,0,S,0,0,7,0,0,S,0,0,7,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,,N,0,,,,,,,,136,1/1/00,0,7.42,7.42,0,0,0.33727,0.33727,0.33727,0.33727,0.33727,0
139,0,0,3 MO INTERNET OLD,THE JOURNAL 3 MONTH,TJ,5D,3,M,3INO,I,Y,P,N,N,8/7/25,N,N,N,Y,N,20,0,S,0,0,7,0,0,S,0,0,7,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,,N,0,,,,,,,,137,1/1/00,0,25,25,0,0,0.38461,0.38461,0.38461,0.38461,0.38461,0
140,0,0,6 MO INTERNET,THE JOURNAL 6 MONTH,TJ,5D,6,M,6MIN,I,Y,P,N,N,8/7/25,N,N,N,Y,Y,20,0,S,0,0,7,0,0,S,0,0,7,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,,N,0,,,,,,,,138,1/1/00,0,57.75,57.75,0,0,0.44423,0.44423,0.44423,0.44423,0.44423,0
141,0,0,1 Year Online Only,THE JOURNAL 1 YEAR,TJ,5D,1,Y,1YON,I,Y,P,N,Y,,N,N,N,Y,N,20,0,S,0,0,7,0,0,S,0,0,7,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,,N,0,,,,,,,,139,1/1/00,0,109,109,0,0,0.41923,0.41923,0.41923,0.41923,0.41923,0
132,0,131,2 MO COMPLIMENTARY,THE JOURNAL 2 MONTH,TJ,5D,2,M,CD31,C,Y,CO,N,Y,4/8/16,N,Y,N,Y,N,,0,S,5,0,7,0,0,S,0,0,7,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,,N,0,,,,,,,,140,1/1/00,0,18.2,18.2,0,0,0.414,0.414,0.414,0.414,0.414,0
142,1,144,ULL 1 YR,UPSTATE LAKE LIVING 1 YEAR,ULL,MF,1,Y,ULL1,M,Y,P,N,N,12/24/24,N,N,N,N,N,20,20,S,0,0,10,0,0,S,0,0,10,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,,N,0,,,,,,,,141,1/1/13,0,15,15,0,3.75,3.75,3.75,3.75,3.75,0,0
143,1,144,ULL OLD,UPSTATE LAKE LIVING 1 YEAR,ULL,MF,1,Y,ULOL,M,Y,P,N,N,12/24/24,N,N,N,N,N,20,20,S,0,0,10,0,0,S,0,0,10,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,,N,0,,,,,,,,142,1/1/13,0,10,10,0,2.5,2.5,2.5,2.5,2.5,0,0
144,0,0,ULL NEW,UPSTATE LAKE LIVING 1 YEAR,ULL,MF,1,Y,ULL3,M,Y,P,N,N,12/24/24,N,N,N,N,N,20,24,S,0,0,10,0,0,S,0,0,10,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,,N,0,,,,,,,,143,5/1/15,0,20,20,0,4,4,4,4,4,0,0
145,0,0,30-Day Free Trial,THE JOURNAL 4 WEEK,TJ,5D,4,W,CD01,C,Y,CO,N,N,,N,Y,N,Y,N,,0,S,5,0,0,0,0,S,0,0,0,N,0,N,0,N,0,N,0,Y,12,Y,6,,N,0,,,,,,,,144,8/5/15,0,0,0,0,0,0,0,0,0,0,0
147,0,0,ONE Week PURCHASE,ONE Week PURCHASE,TJ,5D,1,W,SDPH,I,Y,P,C,Y,,Y,N,N,N,N,20,42,S,0,0,0,0,0,S,0,0,0,N,3,N,10,N,17,N,20,N,13,N,6,,N,0,,,,,,,,145,1/1/00,0,1.49,1.49,0,0,1.49,1.49,1.49,1.49,1.49,0
151,0,0,6-Month Online Only,THE JOURNAL 6 MONTH,TJ,5D,6,M,CD01,I,Y,P,N,N,,N,N,N,Y,N,20,0,S,0,0,7,0,0,S,0,0,7,Y,1,Y,14,Y,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,151,12/4/15,0,57.75,57.75,0,0,0.444231,0.444231,0.444231,0.444231,0.444231,0
149,0,0,3-Month Online Only,THE JOURNAL 3 MONTH,TJ,5D,3,M,CD01,I,Y,P,N,N,,N,Y,N,Y,N,20,0,S,0,0,7,0,0,S,0,0,7,Y,1,Y,14,Y,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,149,12/3/15,0,35.75,35.75,0,0,0.55,0.55,0.55,0.55,0.55,0
150,0,0,1-Month Online Only,THE JOURNAL 1 MONTH,TJ,5D,1,M,CD01,I,Y,P,E,N,,N,Y,N,Y,N,20,0,S,0,0,7,0,0,S,0,0,7,Y,1,Y,14,Y,28,Y,41,Y,10,Y,0,,N,0,,,,,,,,150,12/4/15,0,14.99,14.99,0,0,0.68136,0.68136,0.68136,0.68136,0.68136,0
152,0,0,Online Compimentary 1yr,THE JOURNAL 1 YEAR,TJ,5D,1,Y,COMP,I,Y,CO,N,Y,,N,N,N,Y,N,60,0,S,0,0,7,0,0,S,0,0,7,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,,N,0,,,,,,,,152,2/5/16,0,0,0,0,0,0,0,0,0,0,0
153,1,101,Pay it Forward Promo,Pay it Forward Promo,TJ,5D,1,Y,PM01,C,Y,P,N,N,3/31/16,N,N,N,Y,N,59,20,S,0,0,7,0,0,S,0,0,7,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,,N,0,,,,,,,,153,2/17/16,0,89,89,0,0,0.3423,0.3423,0.3423,0.3423,0.3423,0
154,0,0,Weekly Subscription Rate,THE JOURNAL 1 WEEK AUTO RENEW,TJ,5D,1,W,CD01,C,Y,P,B,N,,N,Y,N,Y,N,20,0,S,0,0,0,0,0,S,0,0,0,N,0,N,0,N,17,Y,3,Y,1,Y,0,,N,0,,,,,,,,154,8/9/16,0,2.49,2.49,0,0,0.498,0.498,0.498,0.498,0.498,0
634,0,0,1M Keowee Key Home Delivery with Digital Accses,NOT FOR PUBLIC,TJ,5D,1,M,KK5DAY,M,Y,P,E,N,,N,Y,N,Y,N,20,0,S,0,0,7,0,0,S,0,0,7,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,THF,I,42,,,,,,,,834,1/1/25,0,15.99,15.99,0,0,0.735172,0.735172,0.735172,0.735172,0.735172,0
636,0,0,2025 Price Inc Fallback Rate $13.99,NOT FOR PUBLIC,TJ,WA,1,M,FB1M1399,M,Y,P,E,Y,,N,Y,N,Y,N,,0,S,0,0,14,0,0,S,0,0,14,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,THF,I,42,,,,,,,,893,12/23/24,0,13.99,13.99,0,0,0.643218,0.643218,0.643218,0.643218,0.643218,0
637,0,0,2025 Price Inc Fallback Rate $12.99,NOT FOR PUBLIC,TJ,WA,1,M,FB1M1299,M,Y,P,E,Y,,N,Y,N,Y,N,,0,S,0,0,14,0,0,S,0,0,14,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,THF,I,42,,,,,,,,894,12/23/24,0,12.99,12.99,0,0,0.597241,0.597241,0.597241,0.597241,0.597241,0
693,0,0,WED AND SAT EDITIONS ONLY,NOT FOR PUBLIC - 1M 2 DAY MAIL,TJ,WA,1,M,PRNTONLY,M,Y,P,E,Y,,N,Y,Y,Y,N,,0,S,0,0,14,0,0,S,0,0,14,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,THF,I,42,,,,,,,,895,12/23/24,0,11.99,11.99,0,0,0.551264,0.551264,0.551264,0.551264,0.551264,0
638,0,0,2025 Price Inc Fallback Rate 109.99,NOT FOR PUBLIC,TJ,WA,6,M,FB6M109,M,Y,P,N,Y,,N,Y,N,Y,N,,0,S,0,0,7,0,0,S,0,0,7,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,THF,I,42,,,,,,,,838,1/1/25,0,109.99,109.99,0,0,0.842835,0.842835,0.842835,0.842835,0.842835,0
639,0,0,6M Keowee Key Home Delivery with Digital Accses,NOT FOR PUBLIC,TJ,5D,6,M,KK5DAY,M,Y,P,N,N,,N,Y,N,Y,N,20,0,S,0,0,7,0,0,S,0,0,7,N,,N,0,N,,Y,21,Y,10,N,0,THF,I,42,,,,,,,,839,1/1/25,0,89.99,89.99,0,0,0.689879,0.689579,0.689579,0.689579,0.689579,0
640,0,0,2025 Price Inc Fallback Rate $99.99,NOT FOR PUBLIC,TJ,WA,6,M,FB6M99,M,Y,P,N,Y,,N,Y,N,Y,N,,0,S,0,0,7,0,0,S,0,0,7,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,THF,I,42,,,,,,,,840,1/1/25,0,99.99,99.99,0,0,0.766207,0.766207,0.766207,0.766207,0.766207,0
685,0,0,1 year mail print and digital,THE JOURNAL 12 MONTH,TJ,WA,12,M,MAIL99,M,Y,P,N,Y,,N,N,N,Y,Y,,0,S,0,0,20,0,0,S,0,0,7,Y,3,Y,10,Y,17,Y,20,Y,13,Y,6,THF,I,42,,,,,,,,885,1/1/25,0,249.99,249.99,0,0,0.957816,0.957816,0.957816,0.957816,0.957816,0
688,0,0,MAIL . IN COUNTY,THE JOURNAL 1 YEAR,TJ,WA,1,Y,PO01,M,Y,P,N,Y,,N,N,N,Y,Y,20,0,S,1,0,0,0,0,S,1,0,0,Y,1,N,14,N,28,Y,41,Y,10,Y,0,THF,I,42,,,,,,,,888,1/1/25,0,229.99,229.99,0,0,0.881188,0.881188,0.881188,0.881188,0.881188,0
686,0,0,MAIL . IN COUNTY,THE JOURNAL 3 MONTH,TJ,WA,3,M,PO01,M,Y,P,N,Y,,N,N,N,Y,Y,20,0,S,0,0,0,0,0,S,0,0,0,Y,1,N,14,N,28,Y,41,Y,10,Y,0,THF,I,42,,,,,,,,886,1/1/25,0,41,41,0,0,0.630769,0.630769,0.630769,0.630769,0.630769,0
687,0,0,MAIL . IN COUNTY,THE JOURNAL 6 MONTH,TJ,WA,6,M,PO01,M,Y,P,N,Y,,N,N,N,Y,Y,20,0,S,1,0,0,0,0,S,1,0,0,Y,1,N,14,N,28,Y,41,Y,10,Y,0,THF,I,42,,,,,,,,887,1/1/25,0,229.99,229.99,0,0,1.762375,1.762375,1.762375,1.762375,1.762375,0
