 Rate.rr Online Desc, Rate.rr Edition, Rate.rr Issue, Rate.rr Length," Rate.rr Len Type(m=month,Y-year,W=week)", Rate.rr Zone, Sub Rate Id, Effective Date, Full Rate
2025 25% DIRECT MAIL OFFER,LJ,WS,52,W,MAIL,901,1/16/25,48.75
LANDER JOURNAL 52 WEEK,LJ,WS,52,W,MAIL,425,12/28/23,55
LANDER JOURNAL 52 WEEK,LJ,WS,52,W,INTERNET,435,1/9/24,0
LJ DIGITAL,LJ,WA,52,W,DIGITAL,925,4/7/25,65
LANDER JOURNAL 52W Stay & Save - 1 free month,LJ,WS,1,M,SOFF1,948,7/18/25,5.42
LANDER JOURNAL 26W Stay & Save - 1 free month,LJ,WS,1,M,SOFF2,950,7/18/25,0
LANDER JOURNAL 1 MONTH AUTO RENEW,LJ,WS,1,M,CARR,327,12/1/22,6.5
LANDER JOURNAL 6 MONTH,LJ,WS,6,M,CARR,329,12/1/22,34
LANDER JOURNAL 1 YEAR,LJ,WS,1,Y,CARR,330,12/1/22,65
LANDER JOURNAL 1 MONTH AUTO RENEW,LJ,WS,1,M,MAIL,335,12/1/22,6.5
LANDER JOURNAL 6 MONTH,LJ,WS,6,M,MAIL,337,12/1/22,34
LANDER JOURNAL 1 YEAR,LJ,WS,1,Y,MAIL,338,12/1/22,65
LANDER JOURNAL 1 YEAR,LJ,WS,1,Y,CARR,352,5/1/23,0
LANDER JOURNAL 1 YEAR,LJ,WS,1,Y,MAIL,353,5/1/23,0
LANDER JOURNAL 1 MONTH,LJ,WS,1,M,MAIL,377,8/7/23,0
12 Months Mail Delivery--Outside of Tuscola County,TA,WO,12,M,OOC,763,12/3/24,62
12 Months Mail Delivery--Outside of Tuscola County Senior Rate,TA,WO,12,M,14,764,12/3/24,54
ADVERTISER - 12M -Out of County SR Rate - STAY & SAVE -1M FREE,TA,WO,1,M,SOFF8,956,7/20/25,0
ADVERTISER - 12m -Out of County - STAY & SAVE -1M FREE,TA,WO,1,M,SOFF9,957,7/20/25,0
ADVERTISER - 12m - SR - STAY & SAVE -1M FREE,TA,WO,1,M,SOFF10,958,7/20/25,0
ADVERTISER - 12m -DIGITAL - STAY & SAVE -1M FREE,TA,WO,1,M,SOFF11,959,7/20/25,0
ADVERTISER - 52W -STAY & SAVE - 1M FREE - MAIL,TA,WO,1,M,SOFF5,953,7/19/25,0
ADVERTISER - 6M -STAY & SAVE - 1M FREE - MAIL,TA,WO,1,M,SOFF6,954,7/20/25,0
ADVERTISER - 3M -STAY & SAVE - 1M FREE - MAIL,TA,WO,1,M,SOFF7,955,7/20/25,0
THE ADVERTISER 12 MONTH,TA,WO,12,M,MAIL,259,1/1/21,52
THE ADVERTISER 6 MONTH,TA,WO,6,M,MAIL,260,1/1/21,26.95
THE ADVERTISER 3 MONTH,TA,WO,3,M,MAIL,291,1/1/21,14.95
THE ADVERTISER 1 MONTH,TA,WO,1,M,MAIL,292,1/1/21,7.95
THE ADVERTISER 12 MONTH,TA,WO,12,M,MAIL,293,1/1/21,0
THE ADVERTISER 12 MONTH,TA,WO,12,M,DIGITAL,294,5/30/21,52
THE ADVERTISER 12 MONTH,TA,WO,12,M,SENIOR,295,5/31/21,44
THE ADVERTISER 6 MONTH,TA,WO,6,M,MAIL,372,9/1/23,39
THE ADVERTISER 3 MONTH,TA,WO,3,M,MAIL,373,9/1/23,24
THE ADVERTISER 1 DAY AUTO RENEW,TA,WO,1,D,DIGITAL,375,7/28/23,5
THE JOURNAL 1 MONTH,TJ,WA,1,M,CD15,115,1/1/10,8.25
THE JOURNAL 1 YEAR,TJ,5D,1,Y,COMP,128,1/1/00,0
THE JOURNAL 1 YEAR,TJ,5D,1,Y,COMP,129,1/1/00,0
THE JOURNAL 2 MONTH,TJ,5D,2,M,COMP,131,9/1/13,0
THE JOURNAL 1 MONTH,TJ,5D,1,M,PPIN,132,1/1/00,8.25
THE JOURNAL 1 MONTH AUTO RENEW,TJ,5D,1,M,EZIN,134,1/1/00,9.1
THE JOURNAL 1 YEAR,TJ,5D,1,Y,1YON,139,1/1/00,109
THE JOURNAL 2 MONTH,TJ,5D,2,M,CD31,140,1/1/00,18.2
ONE Week PURCHASE,TJ,5D,1,W,SDPH,145,1/1/00,1.49
THE JOURNAL 1 YEAR,TJ,5D,1,Y,COMP,152,2/5/16,0
NOT FOR PUBLIC,TJ,WA,1,M,FB1M1399,893,12/23/24,13.99
NOT FOR PUBLIC,TJ,WA,1,M,FB1M1299,894,12/23/24,12.99
NOT FOR PUBLIC - 1M 2 DAY MAIL,TJ,WA,1,M,PRNTONLY,895,12/23/24,11.99
NOT FOR PUBLIC,TJ,WA,6,M,FB6M109,838,1/1/25,109.99
NOT FOR PUBLIC,TJ,WA,6,M,FB6M99,840,1/1/25,99.99
THE JOURNAL 12 MONTH,TJ,WA,12,M,MAIL99,885,1/1/25,249.99
THE JOURNAL 1 YEAR,TJ,WA,1,Y,PO01,888,1/1/25,229.99
THE JOURNAL 3 MONTH,TJ,WA,3,M,PO01,886,1/1/25,41
THE JOURNAL 6 MONTH,TJ,WA,6,M,PO01,887,1/1/25,229.99
THE JOURNAL 3 MONTH,TJ,WA,3,M,PO02,889,1/1/25,59.99
THE JOURNAL 1 YEAR,TJ,WA,1,Y,PO06,890,1/1/25,229.99
THE JOURNAL 12 MONTH,TJ,WA,12,M,MAILDG,844,1/1/25,169.99
THE JOURNAL 1 MONTH AUTO RENEW,TJ,WA,1,M,MAILDG,841,1/1/25,15.99
The Journal 1 Year,TJ,WA,1,Y,RN0099,845,1/1/25,99
THE JOURNAL 3 MONTH,TJ,WA,3,M,MAILDG,842,1/1/25,59.99
THE JOURNAL 6 MONTH,TJ,WA,6,M,MAILDG,843,1/1/25,89.99
THE JOURNAL 2 WEEK,TJ,WA,2,W,SAMP99,804,1/1/25,0
THE JOURNAL 1 YEAR,TJ,WA,1,Y,COMP,882,1/1/25,0
THE JOURNAL 1 YEAR,TJ,WA,1,Y,COMP,1000,1/1/25,0
THE JOURNAL 6 MONTH,TJ,WA,6,M,CD01,1003,1/1/25,84.99
THE JOURNAL 1 YEAR,TJ,WA,1,Y,CD01,1005,1/1/25,159.99
THE JOURNAL 1 YEAR,TJ,WA,1,Y,CD02,1006,1/1/25,154.99
THE JOURNAL 1 YEAR,TJ,WA,1,Y,CD03,1007,1/1/25,154.99
THE JOURNAL 1 MONTH,TJ,WA,1,M,CD13,1008,1/1/25,16.99
THE JOURNAL 6 MONTH,TJ,WA,6,M,CR0099,1012,1/1/25,99.99
THE JOURNAL 12 MONTH,TJ,WA,12,M,CR0099,1013,1/1/25,189.99
THE JOURNAL 6 MONTH,TJ,5D,6,M,KK5DAY,1016,1/1/25,89.99
THE JOURNAL 12 MONTH,TJ,WA,12,M,RN0099,1017,1/1/25,169.99
The Journal 1 Year,TJ,WA,1,Y,RN0099,1018,1/1/25,99
NOT FOR PUBLIC,TJ,WA,1,M,FB1M1499,892,12/23/24,14.99
NOT FOR PUBLIC,TJ,WA,1,M,FB1M1099,896,12/23/24,10.99
2025 fallback Rate $9.99,TJ,WA,1,M,FB1M999,897,12/23/24,9.99
NOT FOR PUBLIC,TJ,WA,1,M,KK2DAY,898,12/23/24,11.99
2 days mail delivery with full digital access,TJ,WA,12,M,CD01,899,1/15/25,159.99
NOT FOR PUBLIC - 12M 2 DAY MAIL,TJ,WA,12,M,PRNTONLY,902,1/20/25,129.99
NOT FOR PUBLIC,TJ,WA,12,M,FB12M139,903,1/20/25,139.99
NOT FOR PUBLIC - 6M 2 DAY MAIL,TJ,WA,6,M,PRNTONLY,904,1/20/25,69.99
NOT FOR PUBLIC,TJ,WA,12,M,FB12M149,906,1/20/25,149.99
not for public,TJ,5D,1,M,DIGI999,907,1/20/25,9.99
THE JOURNAL 1 YEAR,TJ,WA,1,Y,CD01,809,1/1/25,159.99
THE JOURNAL 1 YEAR,TJ,WA,1,Y,CD02,810,1/1/25,154.99
225 Price Incr Fall Back Rate 199.99,TJ,5D,12,M,FB12M199,739,11/12/24,199.99
NOT FOR PUBLIC,TJ,5D,12,M,FB12M189,740,11/12/24,189.99
NOT FOR PUBLIC,TJ,5D,12,M,FB12M179,741,11/12/24,179.99
NOT FOR PUBLIC,TJ,WA,12,M,FB12169,742,11/12/24,169.99
NOT FOR PUBLIC,TJ,5D,6,M,FB6M109,743,11/12/24,109.99
NOT FOR PUBLIC,TJ,5D,6,M,FB6M99,744,11/12/24,99.99
NOT FOR PUBLIC,TJ,5D,6,M,FB6M89,745,11/12/24,89.99
NOT FOR PUBLIC,TJ,5D,1,M,FB1M1899,746,11/13/24,18.99
NOT FOR PUBLIC,TJ,5D,1,M,FB1M1799,747,11/13/24,17.99
NOT FOR PUBLIC,TJ,5D,1,M,FB1M1699,748,11/13/24,16.99
NOT FOR PUBLIC,TJ,5D,1,M,KK5DAY,749,11/13/24,15.99
NOT FOR PUBLIC,TJ,5D,12,M,FD12M209,750,11/13/24,209.99
NOT FOR PUBLIC,TJ,5D,12,M,FD12M199,751,11/13/24,199.99
NOT FOR PUBLIC,TJ,5D,12,M,FD12M189,752,11/13/24,189.99
NOT FOR PUBLIC,TJ,5D,12,M,FD12M179,753,11/13/24,179.99
NOT FOR PUBLIC,TJ,5D,12,M,FD12M169,754,11/13/24,169.99
NOT FOR PUBLIC,TJ,5D,6,M,FD6M109,755,11/13/24,109.99
NOT FOR PUBLIC,TJ,5D,6,M,FD6M99,756,11/13/24,99.99
NOT FOR PUBLI,TJ,5D,6,M,FD6M89,757,11/13/24,89.99
NOT FOR PUBLIC,TJ,5D,1,M,FD1M1899,758,11/13/24,18.99
NOT FOR PUBLIC,TJ,5D,1,M,HD1M1799,759,11/13/24,17.99
NOT FOR PUBLIC,TJ,5D,1,M,FD1M1699,760,11/13/24,16.99
NOT FOR PUBLIC,TJ,5D,1,M,FD1M1599,761,11/13/24,15.99
THE JOURNAL 1 YEAR,TJ,WA,1,Y,CD03,811,1/1/25,154.99
THE JOURNAL 1 YEAR,TJ,WA,1,Y,CD04,813,1/1/25,154.99
THE JOURNAL 1 YEAR,TJ,WA,1,Y,CD05,814,1/1/25,154.99
THE JOURNAL 1 MONTH,TJ,WA,1,M,CD13,818,1/1/25,16.99
THE JOURNAL 1 MONTH AUTO RENEW,TJ,WA,1,M,CD14,819,1/1/25,15.99
THE JOURNAL 1 MONTH,TJ,WA,1,M,CD15,820,1/1/25,8.25
THE JOURNAL 2 MONTH,TJ,WA,2,M,COMP,803,1/1/25,0
THE JOURNAL 12 MONTH,TJ,WA,12,M,CR0099,825,1/1/25,189.99
THE JOURNAL 1 MONTH AUTO RENEW,TJ,WA,1,M,CR0099,822,1/1/25,19.99
THE JOURNAL 3 MONTH,TJ,WA,3,M,CR0099,823,1/1/25,59.99
THE JOURNAL 6 MONTH,TJ,WA,6,M,CR0099,824,1/1/25,99.99
THE JOURNAL 1 YEAR,TJ,WA,1,Y,EP03,826,1/1/25,54.5
1 year full access,TJ,WA,12,M,FB12169,829,1/1/25,169.99
NOT FOR PUBLIC,TJ,WA,12,M,FB12M179,830,1/1/25,179.99
NOT FOR PUBLIC,TJ,WA,12,M,FB12M189,831,1/1/25,189.99
225 Price Incr Fall Back Rate 199.99,TJ,WA,12,M,FB12M199,832,1/1/25,199.99
NOT FOR PUBLIC,TJ,WA,12,M,FB12M25,833,1/1/25,209.99
JOURNAL EZPAY RECURRING - STAY & SAVE - 1M FREE,TJ,WA,1,M,SOFF12,960,7/20/25,0
JOURNAL 1Y PRINT+DIGITAL - STAY & SAVE - 1M FREE,TJ,WA,4,W,SOFF13,961,7/20/25,0
JOURNAL 6M PRINT+DIGITAL - STAY & SAVE - 1M FREE,TJ,WA,1,M,SOFF14,962,7/20/25,0
JOURNAL 3M PRINT+DIGITAL - STAY & SAVE - 1M FREE,TJ,WA,1,M,SOFF15,963,7/20/25,0
12M Keowee Key Home Delivery with Digital Accses,TJ,5D,12,M,KK5DAY,967,8/25/25,169.99
THE JOURNAL 12 MONTH,TJ,5D,12,M,CITYGOV,417,12/19/23,129.99
THE JOURNAL 12 MONTH,TJ,5D,12,M,CITYGOV,418,12/20/23,0
THE JOURNAL 1 MONTH AUTO RENEW,TJ,5D,1,M,EZIN,420,1/2/24,15.99
THE JOURNAL 6 MONTH,TJ,5D,6,M,RN0099,428,1/4/24,89.99
THE JOURNAL 6 MONTH,TJ,5D,6,M,DIGONLY,431,1/4/24,89.99
THE JOURNAL 3 MONTH,TJ,5D,3,M,DIGONLY,432,1/4/24,59.99
THE JOURNAL 12 MONTH,TJ,5D,12,M,DIGONLY,433,1/4/24,169.99
THE JOURNAL 1 MONTH AUTO RENEW,TJ,5D,1,M,DIGONLY,437,1/16/24,15.99
THE JOURNAL 2 WEEK,TJ,5D,2,W,SAMP99,444,2/6/24,0
THE JOURNAL 12 MONTH,TJ,5D,12,M,MAIL99,445,3/5/24,249.99
THE JOURNAL 1 MONTH,TJ,5D,1,M,FRDG99,446,3/12/24,0
The Journal 1 Year,TJ,5D,1,Y,RN0099,452,9/18/24,99
NOT FOR PUBLIC,TJ,5D,12,M,FB12M25,453,11/11/24,209.99
not for public,TJ,5D,1,M,DIGI1199,908,1/20/25,11.99
2025 12M Fallback Digital Rate,TJ,5D,12,M,DIGI129,909,1/20/25,129.99
NOT FOR PUBLIC,TJ,5D,12,M,DIGI99,910,1/20/25,99.99
6 MONTHS OUT OF COUNTY MAIL DELIVERY,TJ,WA,6,M,OOC25,911,1/20/25,135.49
"OUT OF COUNTY MAIL, 3 MONTHS FOR $65.99",TJ,WA,3,M,OOC25,912,1/20/25,65.99
NOT FOR PUBLIC - 3M 2 DAY MAIL,TJ,WA,3,M,PRNTONLY,913,1/20/25,39.99
Not for Public,TJ,WA,3,M,KK2DAY,916,1/23/25,39.99
not for public,TJ,WA,3,M,KK3M45,917,1/23/25,44.99
Keowee Key 3M HD 49.99,TJ,WA,3,M,KK3M50,918,1/23/25,49.99
not for public,TJ,WA,1,M,KK1M15,919,1/23/25,14.99
Keowee Key 1M HD 13.99,TJ,WA,1,M,KK12M14,920,1/23/25,13.99
NOT FOR PUBLIC,TJ,WA,1,M,KK1M13,921,1/23/25,12.99
Not for Public,TJ,WA,6,M,KK2DAY,922,1/23/25,69.99
Not for Public,TJ,WA,12,M,KK2DAY,923,1/23/25,129.99
NOT FOR ONLINE,TJ,WA,6,M,HAL406M,924,2/10/25,40
,TJ,5D,1,M,1MCASH,926,6/23/25,15.99
USE FOR 1M CASH FOR 2 DAYS ONLY!,TJ,WA,1,M,1MCASH2D,927,6/25/25,11.99
,TJ,5D,3,M,KK5DAY,938,7/7/25,59.99
12M Keowee Key Home Delivery with Digital Accses,TJ,5D,12,M,KK5DAY,939,7/7/25,169.99
1 Year Special - TJ,TJ,WA,52,W,MAIL,947,7/17/25,99
ONE Week PURCHASE,TJ,5D,1,W,SDPH,258,7/24/21,6.29
THE JOURNAL 1 YEAR,TJ,5D,1,Y,1YON,299,10/17/22,159.99
THE JOURNAL 1 MONTH AUTO RENEW,TJ,5D,1,M,EZIN,301,10/17/22,14.99
THE JOURNAL 1 MONTH AUTO RENEW,TJ,5D,1,M,EZIN,280,10/24/21,13.49
THE JOURNAL 1 YEAR,TJ,5D,1,Y,1YON,282,10/24/21,154.99
THE JOURNAL 1 YEAR,TJ,5D,1,Y,CD08,287,10/24/21,154.99
THE JOURNAL 3 MONTH,TJ,5D,3,M,20,288,10/24/21,49.99
THE JOURNAL 1 YEAR,TJ,5D,1,Y,DNIE23,402,10/6/23,0
THE JOURNAL 1 YEAR,TJ,5D,1,Y,CD08,156,2/27/17,59
THE JOURNAL 1 YEAR,TJ,5D,1,Y,CD08,183,9/15/18,79.99
THE JOURNAL 1 YEAR,TJ,5D,1,Y,1YON,186,9/13/18,129.99
THE JOURNAL 1 MONTH AUTO RENEW,TJ,5D,1,M,EZIN,187,9/14/18,11.49
THE JOURNAL 3 MONTH,TJ,5D,3,M,20,207,3/26/19,39.99
THE JOURNAL 3 MONTH,TJ,5D,3,M,20,208,11/11/19,46.5
THE JOURNAL 1 YEAR,TJ,5D,1,Y,CD08,217,11/11/19,149.99
THE JOURNAL 1 YEAR,TJ,5D,1,Y,1YON,219,11/11/19,149.99
THE JOURNAL 1 MONTH AUTO RENEW,TJ,5D,1,M,EZIN,222,11/11/19,12.99
THE RANGER 52 WEEK,TR,WS,52,W,MAIL,424,12/28/23,55
THE RANGER 52 WEEK,TR,WS,52,W,INTERNET,434,1/9/24,0
THE RANGER 52 WEEK,TR,WS,52,W,INTERNET,443,1/25/24,65
25% OFF JAN 2025 PROMO,TR,WS,12,M,MAIL,915,1/23/25,48.75
THE RANGER - 52W -STAY & SAVE - 1 MONTH FREE,TR,WS,1,M,SOFF3,951,7/19/25,0
THE RANGER - 26W -STAY & SAVE - 1 MONTH FREE,TR,WS,1,M,SOFF4,952,7/19/25,0
THE RANGER 1 MONTH AUTO RENEW,TR,WS,1,M,MAIL,310,12/1/22,6.5
THE RANGER 6 MONTH,TR,WS,6,M,MAIL,312,12/1/22,34
THE RANGER 1 YEAR,TR,WS,1,Y,MAIL,313,12/1/22,65
THE RANGER 1 YEAR,TR,WS,1,Y,MAIL,355,5/25/23,0
THE RANGER 1 MONTH,TR,WS,1,M,MAIL,378,8/7/23,0
WIND RIVER NEWS 1 YEAR,WRN,THU,1,Y,MAIL,350,12/1/22,35
WIND RIVER NEWS 1 YEAR,WRN,THU,1,Y,MAIL,354,5/25/23,0
WIND RIVER NEWS 1 MONTH,WRN,THU,1,M,MAIL,379,8/7/23,0